event_id,year_sheet,event_start_ts,event_end_ts,outage_duration_hours,customers_affected,demand_loss_mw,nerc_region,event_type,alert_criteria,area_affected_raw,event_year,event_month,has_end_ts,has_customers_affected
2308,2018,2018-11-02 09:50:00,,,0.0,0.0,MRO,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Minnesota: Douglas County;,2018.0,11.0,False,True
2309,2018,2018-11-03 05:53:00,2018-11-03 05:57:00,0.06666666666666667,0.0,0.0,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Illinois:,2018.0,11.0,True,True
2310,2018,2018-11-03 17:20:00,2018-11-04 14:30:00,21.166666666666668,62000.0,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Connecticut: Massachusetts: New Hampshire: Vermont: Maine: Rhode Island:,2018.0,11.0,True,True
2311,2018,2018-11-06 09:49:00,2018-11-09 14:05:00,76.26666666666667,61000.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Tennessee:,2018.0,11.0,True,True
2312,2018,2018-11-08 07:16:00,2018-11-28 16:32:00,489.26666666666665,11844.0,32.0,WECC,Natural Disaster/Transmission Interruption,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,California: Butte County;,2018.0,11.0,True,True
2313,2018,2018-11-08 16:00:00,,,0.0,0.0,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,"Nevada: Carson City, Consolidated Municipality of[19];",2018.0,11.0,False,True
2314,2018,2018-11-09 09:02:00,2018-11-09 10:23:00,1.35,0.0,0.0,MRO,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Iowa: Muscatine County;,2018.0,11.0,True,True
2315,2018,2018-11-10 17:02:00,2018-11-14 15:00:00,93.96666666666667,0.0,0.0,MRO,Fuel Supply Deficiency,Fuel supply emergencies that could impact electric power system adequacy or reliability,Wisconsin:,2018.0,11.0,True,True
2316,2018,2018-11-13 18:19:00,2018-11-13 19:40:00,1.35,0.0,0.0,SPP RE,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Arkansas: Oklahoma: Louisiana: Texas:,2018.0,11.0,True,True
2317,2018,2018-11-15 10:50:00,2018-11-17 13:12:00,50.36666666666667,50600.0,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Virginia: West Virginia:,2018.0,11.0,True,True
2318,2018,2018-11-15 03:23:00,2018-11-15 17:35:00,14.2,150000.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Kentucky:,2018.0,11.0,True,True
2319,2018,2018-11-15 05:28:00,2018-11-15 08:35:00,3.1166666666666667,55000.0,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Indiana:,2018.0,11.0,True,True
2320,2018,2018-11-15 05:38:00,2018-11-16 06:00:00,24.366666666666667,104000.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Kentucky: Ohio:,2018.0,11.0,True,True
2321,2018,2018-11-18 13:10:00,,,0.0,2.0,MRO,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Nebraska: Holt County;,2018.0,11.0,False,True
2322,2018,2018-11-25 22:30:00,2018-11-28 20:17:00,69.78333333333333,313448.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Illinois: Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;",2018.0,11.0,True,True
2323,2018,2018-11-27 08:00:00,2018-11-28 16:50:00,32.833333333333336,32000.0,,NPCC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Maine: New Hampshire: Vermont:,2018.0,11.0,True,True
2324,2018,2018-12-01 09:40:00,2018-12-04 17:17:00,79.61666666666666,0.0,0.0,RF,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Pennsylvania:,2018.0,12.0,True,True
2325,2018,2018-12-01 16:23:00,2018-12-01 17:09:00,0.7666666666666667,0.0,0.0,FRCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Florida: Leon County;,2018.0,12.0,True,True
2326,2018,2018-12-02 16:17:00,2018-12-02 20:30:00,4.216666666666667,0.0,0.0,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Maryland:,2018.0,12.0,True,True
2327,2018,2018-12-03 03:15:00,2018-12-03 03:44:00,0.48333333333333334,,16.0,TRE,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Texas:,2018.0,12.0,True,False
2328,2018,2018-12-05 08:00:00,2018-12-06 08:00:00,24.0,0.0,0.0,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Alabama: Chambers County;,2018.0,12.0,True,True
2329,2018,2018-12-05 12:48:00,2018-12-05 12:49:00,0.016666666666666666,0.0,0.0,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,California: Los Angeles County;,2018.0,12.0,True,True
2330,2018,2018-12-07 03:10:00,2018-12-07 04:35:00,1.4166666666666667,0.0,0.0,WECC,Actual Physical Attack,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Utah: Weber County;,2018.0,12.0,True,True
2331,2018,2018-12-09 03:35:00,2018-12-10 23:45:00,44.166666666666664,50000.0,,SERC,Severe Weather/Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more.",North Carolina:,2018.0,12.0,True,True
2332,2018,2018-12-09 23:28:00,2018-12-10 01:30:00,2.033333333333333,0.0,0.0,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Virginia: Loudoun County;,2018.0,12.0,True,True
2333,2018,2018-12-09 08:41:00,2018-12-09 18:00:00,9.316666666666666,70000.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",North Carolina:,2018.0,12.0,True,True
2334,2018,2018-12-09 00:23:00,2018-12-09 11:54:00,11.516666666666667,41126.0,137.0,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Alabama: Georgia:,2018.0,12.0,True,True
2335,2018,2018-12-11 07:00:00,2018-12-13 14:00:00,55.0,0.0,0.0,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Oregon: Josephine County;,2018.0,12.0,True,True
2336,2018,2018-12-11 09:10:00,2018-12-11 10:26:00,1.2666666666666666,0.0,0.0,TRE,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Texas: Travis County;,2018.0,12.0,True,True
2337,2018,2018-12-12 10:00:00,2018-12-12 10:31:00,0.5166666666666667,0.0,0.0,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Oregon: Gilliam County;,2018.0,12.0,True,True
2338,2018,2018-12-13 10:00:00,,,0.0,0.0,WECC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.","California: Stanislaus County, San Joaquin County;",2018.0,12.0,False,True
2339,2018,2018-12-14 16:00:00,2018-12-17 02:00:00,58.0,150000.0,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Washington: King County, Kitsap County, Island County, Pierce County, Thurston County, Whatcom County, Skagit County, Kittitas County;",2018.0,12.0,True,True
2340,2018,2018-12-14 18:00:00,,,60000.0,200.0,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Washington: Snohomish County;,2018.0,12.0,False,True
2341,2018,2018-12-14 08:40:00,2018-12-14 10:00:00,1.3333333333333333,0.0,0.0,TRE,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Texas: Jasper County;,2018.0,12.0,True,True
2342,2018,2018-12-18 08:47:00,2018-12-18 08:48:00,0.016666666666666666,0.0,0.0,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Utah: Salt Lake County; California: Oregon:,2018.0,12.0,True,True
2343,2018,2018-12-20 09:30:00,2018-12-20 17:00:00,7.5,165000.0,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Washington: Skagit County, Snohomish County, King County, Kitsap County, Island County;",2018.0,12.0,True,True
2344,2018,2018-12-26 01:00:00,2019-01-03 10:27:00,201.45,0.0,0.0,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,California: Kern County;,2018.0,12.0,True,True
2345,2018,2018-12-27 21:12:00,2018-12-27 21:16:00,0.06666666666666667,,,NPCC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",New York: New York County;,2018.0,12.0,True,False
2346,2018,2018-12-27 00:05:00,2018-12-27 01:05:00,1.0,0.0,0.0,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,"Maryland: Montgomery County, Prince George's County; District of Columbia:",2018.0,12.0,True,True
2347,2018,2018-12-27 12:50:00,2018-12-27 13:00:00,0.16666666666666666,0.0,0.0,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.,California: Kern County;,2018.0,12.0,True,True
2348,2018,2018-12-30 11:41:00,2018-12-30 13:20:00,1.65,0.0,0.0,WECC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Washington: King County;,2018.0,12.0,True,True
2349,2019,2019-01-05 13:19:00,2019-01-05 15:07:00,1.8,,0.0,WECC,System Operations,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,Washington:,2019.0,1.0,True,False
2350,2019,2019-01-06 03:00:00,2019-01-09 07:00:00,76.0,230000.0,230.0,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Washington:,2019.0,1.0,True,True
2351,2019,2019-01-06 17:56:00,2019-01-06 21:52:00,3.933333333333333,90382.0,300.0,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",California: Sacramento County;,2019.0,1.0,True,True
2352,2019,2019-01-06 01:00:00,2019-01-06 12:00:00,11.0,230000.0,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.","Washington: King County, Thurston County, Pierce County;",2019.0,1.0,True,True
2353,2019,2019-01-07 20:57:00,2019-01-07 21:32:00,0.5833333333333334,0.0,0.0,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Michigan:,2019.0,1.0,True,True
2354,2019,2019-01-09 11:55:00,2019-01-09 11:56:00,0.016666666666666666,0.0,0.0,WECC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",New Mexico: San Juan County;,2019.0,1.0,True,True
2355,2019,2019-01-10 12:19:00,2019-01-10 12:48:00,0.48333333333333334,2.0,11.0,WECC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Montana: Valley County;,2019.0,1.0,True,True
2356,2019,2019-01-11 11:36:00,2019-01-11 12:43:00,1.1166666666666667,0.0,0.0,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Maine:,2019.0,1.0,True,True
2357,2019,2019-01-12 11:30:00,2019-01-13 22:00:00,34.5,112530.0,,SPP RE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Missouri: Jackson County; Kansas: Johnson County;,2019.0,1.0,True,True
2358,2019,2019-01-12 11:30:00,,,116600.0,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Missouri: Nebraska:,2019.0,1.0,False,True
2359,2019,2019-01-12 19:20:00,2019-01-12 21:38:00,2.3,0.0,0.0,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,New Hampshire:,2019.0,1.0,True,True
2360,2019,2019-01-13 05:30:00,2019-01-15 17:00:00,59.5,,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",North Carolina: South Carolina:,2019.0,1.0,True,False
2361,2019,2019-01-14 11:10:00,,,,,RF,Actual Physical Attack,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Michigan:,2019.0,1.0,False,False
2362,2019,2019-01-15 08:00:00,2019-01-15 08:02:00,0.03333333333333333,0.0,0.0,RF,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Pennsylvania:,2019.0,1.0,True,True
2363,2019,2019-01-16 17:26:00,2019-01-17 12:19:00,18.883333333333333,126700.0,190.0,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more.",California:,2019.0,1.0,True,True
2364,2019,2019-01-16 05:19:00,2019-01-16 07:14:00,1.9166666666666667,0.0,0.0,TRE,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Texas: Nueces County;,2019.0,1.0,True,True
2365,2019,2019-01-18 21:54:00,2019-01-19 00:19:00,2.4166666666666665,,8.0,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Nebraska:,2019.0,1.0,True,False
2366,2019,2019-01-23 07:26:00,2019-01-23 17:05:00,9.65,0.0,0.0,WECC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Colorado: Larimer County;,2019.0,1.0,True,True
2367,2019,2019-01-24 04:39:00,2019-01-24 05:16:00,0.6166666666666667,0.0,0.0,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Ohio:,2019.0,1.0,True,True
2368,2019,2019-01-28 13:35:00,2019-01-28 13:40:00,0.08333333333333333,0.0,0.0,WECC,Actual Physical Attack,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Utah: Iron County;,2019.0,1.0,True,True
2369,2019,2019-01-29 18:34:00,2019-01-29 18:36:00,0.03333333333333333,,,SERC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Louisiana: Washington Parish;,2019.0,1.0,True,False
2370,2019,2019-01-30 16:30:00,,,0.0,0.0,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Washington:,2019.0,1.0,False,True
